"state_abbr","state_name","org_type","org_name","agency_name","local_phone","local_phone_ext","local_notes","local_tdd","local_tdd_ext","agency_id","tollfree_phone","tollfree_ext","tollfree_instate_flag","tollfree_notes","tollfree_tdd","tollfree_tdd_ext","spanish_phone","spanish_ext","address","address2","agency_notes","email_address","web_address"
"AK","Alaska","F","SHIP -- State Health Insurance Assistance Program","Medicare Information Office","9072693680",,,"9072693691",,"00542","8004786065",,"yes",,,,,,,,,"judith.bendersky@alaska.gov","http://medicare.alaska.gov"
"AK","Alaska","M","State Department of Insurance","Insurance Division of Alaska","9072697900",,,,,"00375","8004678725",,"yes",,,,,,,,,,"www.commerce.state.ak.us/insurance"
"AK","Alaska","O","Nursing Home State Survey Agency","DHSS of Alaska - Division of Healthcare Services & Health Facilities Licensing and Certification Uni","9073342483",,,,,"00217","8883879387",,"yes",,,,,,,,,,"dhss.alaska.gov/dhcs/Pages/hflc/default.aspx"
"AK","Alaska","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"AL","Alabama","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"AR","Arkansas","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"AS","American Samoa","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"AZ","Arizona","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"CA","California","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"CO","Colorado","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"CT","Connecticut","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"DC","Washington D.C.","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
